"","Source","CreationDate","Author","LastSaved","LastSavedBy","BarcodeFinal","LabelPrefix","Crop","FieldStrip","ID2Bad","Col.Row2","Column","Row2","isResidue","TotalGrain.g..bag","TareBag.g.","TotalGrain.g.","Tota.Biomass.g..bag","TareBag.g..1","TotalBiomass.g.","protein","moisture","starch","gluten","testWeight","tareWtSampleBag.g.","NOTES","Notes2","Notes3","ID2","Strip","Field","coords.x1","coords.x2"
"3","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_1_5-A","GPHY14","GB","A4","1","5-A",5,"A","",47,20,27,,,,,,,,,,"TOTAL SAMPLE GROUND","","",1,4,"A",-117.087514,46.778729
"5","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A5_2_6-A","CF14GPSWGrn","SW","A5","2","6-A",6,"A","",724,20,704,,,,13.4,6,64.3,33.1,47.1,,"MOISTURE OUTSIDE LIMITS","","",2,5,"A",-117.08706455,46.77869163
"6","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A5_3_7-A","CF14GPSWGrn","SW","A5","3","7-A",7,"A","",458,20,438,,,,11.7,6.8,68,26.3,50,,"MOISTURE OUTSIDE LIMITS","","",3,5,"A",-117.086678,46.778791
"7","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A6_4_8-A","CF14GPSWGrn","SW","A6","4","8-A",8,"A","",698,20,678,,,,11,6.2,69.1,24.6,50.4,,"MOISTURE OUTSIDE LIMITS","","",4,6,"A",-117.08626,46.778761
"9","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_4_9-A","CF14GPWW","WW","","4","9-A",9,"A","",1036,19,1017,,,,11.2,8.9,68.3,29.9,49.2,,"","","",5,1,"B",-117.085842,46.778666
"10","??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx",41856.34514,"Rachel Unger",41871.46667,"Covered Storage","CF14GPWW_5_10-A","CF14GPWW","WW","","5","10-A",10,"A","",,,,,,,,,,,,,"","","",6,2,"B",-117.08541875,46.77877321
"12","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_6_11-A","CF14GPWW","WW","","6","11-A",11,"A","",797,19,778,,,,12.5,9.1,67.7,33.6,49.7,,"","","",7,3,"B",-117.085006,46.778632
"14","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_7_12-A","CF14GPWW","WW","","7","12-A",12,"A","",806,19,787,,,,11.8,8.9,70.4,30.8,50.6,,"","","",8,3,"B",-117.084588,46.778721
"16","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_8_13-A","CF14GPWW","WW","","8","13-A",13,"A","",1011,19,992,,,,11.9,9.3,66.7,32,44.5,,"","","",9,4,"B",-117.08417,46.778674
"18","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_9_14-A","CF14GPWW","WW","","9","14-A",14,"A","",777,19,758,,,,12,8.8,70,32,51.3,,"","","",10,5,"B",-117.083752,46.778737
